# path	reviewed_at	reviewed_commit	reviewed_blob	reviewed_loc	review_ref	review_note
apps/desktop/src/renderer/chrome/SearchPanel.svelte	2026-07-12T01:53:23Z	81839c83b948b6cd4a3b3ab4c85134c242452d61	11f6aaf07e48cce2164e207379be6a84390b6430	546	RAG/audits/CODE-AUDIT-2026-07-11-LOC-MODULARITY.md	Reviewed as cohesive for now; optional carve-outs and safety constraints are in audit R3.
apps/desktop/src/renderer/chrome/SourcePanel.svelte	2026-07-12T01:53:23Z	81839c83b948b6cd4a3b3ab4c85134c242452d61	3a5e389bf3a8a26b61d6d610f0ea422785453f35	564	RAG/audits/CODE-AUDIT-2026-07-11-LOC-MODULARITY.md	Reviewed as cohesive for now; optional carve-outs and safety constraints are in audit R3.
apps/desktop/src/renderer/menus/ContextMenu.ts	2026-07-12T01:53:22Z	81839c83b948b6cd4a3b3ab4c85134c242452d61	1976afd72439a555037de010e46262438c9dedcc	963	RAG/audits/CODE-AUDIT-2026-07-11-LOC-MODULARITY.md	Split recommended; preserve the facade and parity gates described in audit R1.
apps/desktop/src/renderer/menus/inventory.ts	2026-07-12T01:53:23Z	81839c83b948b6cd4a3b3ab4c85134c242452d61	7d22d67994919e8a12bafa1a0e58d4d77812924a	726	RAG/audits/CODE-AUDIT-2026-07-11-LOC-MODULARITY.md	Reviewed as cohesive for now; optional carve-outs and safety constraints are in audit R3.
apps/desktop/src/renderer/note/NotePanel.svelte	2026-07-12T01:53:22Z	81839c83b948b6cd4a3b3ab4c85134c242452d61	cd2e6f162e1bc305aa0fa9d9c5b507317c654888	2161	RAG/audits/CODE-AUDIT-2026-07-11-LOC-MODULARITY.md	Split recommended; preserve the facade and parity gates described in audit R1.
apps/desktop/src/renderer/note/NotePanels.svelte	2026-07-12T01:53:22Z	81839c83b948b6cd4a3b3ab4c85134c242452d61	039623cc5cd717de996f43a6e36d9944ee692195	601	RAG/audits/CODE-AUDIT-2026-07-11-LOC-MODULARITY.md	Split with adjacent feature or design work; sequencing constraints are in audit R2.
apps/desktop/src/renderer/note/panels.ts	2026-07-12T01:53:22Z	81839c83b948b6cd4a3b3ab4c85134c242452d61	dd7fba35ff49f59bbb284ce0d8d235a99c8eae7f	880	RAG/audits/CODE-AUDIT-2026-07-11-LOC-MODULARITY.md	Split recommended; preserve the facade and parity gates described in audit R1.
apps/desktop/src/renderer/tags/TagPanel.svelte	2026-07-12T01:53:22Z	81839c83b948b6cd4a3b3ab4c85134c242452d61	496494e61d109726f776899b78ac278aeb2b6e12	851	RAG/audits/CODE-AUDIT-2026-07-11-LOC-MODULARITY.md	Split with adjacent feature or design work; sequencing constraints are in audit R2.
apps/desktop/src/renderer/views/GalleryView.svelte	2026-07-12T01:53:22Z	81839c83b948b6cd4a3b3ab4c85134c242452d61	1ad6ace13a68e12d23bb6d329e81287174988e37	1803	RAG/audits/CODE-AUDIT-2026-07-11-LOC-MODULARITY.md	Split recommended; preserve the facade and parity gates described in audit R1.
apps/desktop/src/renderer/views/OutlineView.svelte	2026-07-12T01:53:22Z	81839c83b948b6cd4a3b3ab4c85134c242452d61	90466f6e7d8cd0312a79f21e25a81bcd9ab9b69a	1045	RAG/audits/CODE-AUDIT-2026-07-11-LOC-MODULARITY.md	Split with adjacent feature or design work; sequencing constraints are in audit R2.
apps/desktop/src/renderer/views/SettingsView.svelte	2026-07-12T01:53:22Z	81839c83b948b6cd4a3b3ab4c85134c242452d61	d3c9fec2f75f21f7587052408e40c2a84813bcb4	1022	RAG/audits/CODE-AUDIT-2026-07-11-LOC-MODULARITY.md	Split with adjacent feature or design work; sequencing constraints are in audit R2.
apps/desktop/src/renderer/views/TrashView.svelte	2026-07-12T01:53:23Z	81839c83b948b6cd4a3b3ab4c85134c242452d61	5ea75d94be98422de8c9b10a4f837c1a74950c1b	548	RAG/audits/CODE-AUDIT-2026-07-11-LOC-MODULARITY.md	Reviewed as cohesive for now; optional carve-outs and safety constraints are in audit R3.
apps/desktop/src/utility/index.ts	2026-07-12T01:53:22Z	81839c83b948b6cd4a3b3ab4c85134c242452d61	713282badccfa5c7c14622daebc165c73a522131	709	RAG/audits/CODE-AUDIT-2026-07-11-LOC-MODULARITY.md	Split recommended; preserve the facade and parity gates described in audit R1.
packages/canvas-engine/src/renderers/placement.test.ts	2026-07-12T01:53:24Z	81839c83b948b6cd4a3b3ab4c85134c242452d61	11db6405837ebd33c8cda93cb78d3985bf26ed5d	1176	RAG/audits/CODE-AUDIT-2026-07-11-LOC-MODULARITY.md	Reviewed as test evidence; split only with an owning production boundary or shard need.
packages/canvas-engine/src/renderers/placement.ts	2026-07-12T01:53:22Z	81839c83b948b6cd4a3b3ab4c85134c242452d61	b7cd449fb7a563e880d8dbe5b4cba5a0f11d1d64	1103	RAG/audits/CODE-AUDIT-2026-07-11-LOC-MODULARITY.md	Split recommended; preserve the facade and parity gates described in audit R1.
packages/persistence/src/export/project-export.ts	2026-07-12T01:53:23Z	81839c83b948b6cd4a3b3ab4c85134c242452d61	0d84bf411be2e417d0917575eb4f3cbf4ba1b75d	457	RAG/audits/CODE-AUDIT-2026-07-11-LOC-MODULARITY.md	Reviewed as cohesive for now; optional carve-outs and safety constraints are in audit R3.
packages/persistence/src/export/project-import.ts	2026-07-12T01:53:23Z	81839c83b948b6cd4a3b3ab4c85134c242452d61	f00f70ab2493fc98855592b6f59fb12c1e9bd131	459	RAG/audits/CODE-AUDIT-2026-07-11-LOC-MODULARITY.md	Reviewed as cohesive for now; optional carve-outs and safety constraints are in audit R3.
packages/persistence/src/handlers/lifecycle.test.ts	2026-07-12T01:53:24Z	81839c83b948b6cd4a3b3ab4c85134c242452d61	dad825d1c01082dbc5b625d47cc7747d679492ee	1053	RAG/audits/CODE-AUDIT-2026-07-11-LOC-MODULARITY.md	Reviewed as test evidence; split only with an owning production boundary or shard need.
packages/persistence/src/handlers/lifecycle.ts	2026-07-12T01:53:22Z	81839c83b948b6cd4a3b3ab4c85134c242452d61	98aea955302aa5b54881b1672a5dcf14e851e03e	785	RAG/audits/CODE-AUDIT-2026-07-11-LOC-MODULARITY.md	Split recommended; preserve the facade and parity gates described in audit R1.
packages/persistence/src/handlers/nodes.ts	2026-07-12T01:53:22Z	81839c83b948b6cd4a3b3ab4c85134c242452d61	6a1e56e885a3ca07487f42ba1cf89a627a061477	465	RAG/audits/CODE-AUDIT-2026-07-11-LOC-MODULARITY.md	Split with adjacent feature or design work; sequencing constraints are in audit R2.
packages/persistence/src/handlers/notes.ts	2026-07-12T01:53:22Z	81839c83b948b6cd4a3b3ab4c85134c242452d61	4fb6f25b5cc4d9baf0072495f0fa5ddc6aac2947	490	RAG/audits/CODE-AUDIT-2026-07-11-LOC-MODULARITY.md	Split with adjacent feature or design work; sequencing constraints are in audit R2.
packages/persistence/src/handlers/pin.ts	2026-07-12T01:53:23Z	81839c83b948b6cd4a3b3ab4c85134c242452d61	1fee69b614aaf029940507866fdf425214157624	489	RAG/audits/CODE-AUDIT-2026-07-11-LOC-MODULARITY.md	Reviewed as cohesive for now; optional carve-outs and safety constraints are in audit R3.
packages/persistence/src/handlers/placements.ts	2026-07-12T01:53:22Z	81839c83b948b6cd4a3b3ab4c85134c242452d61	59fcaad3c59a63f508dee20af75b7c292ae98c5b	704	RAG/audits/CODE-AUDIT-2026-07-11-LOC-MODULARITY.md	Split recommended; preserve the facade and parity gates described in audit R1.
packages/persistence/src/handlers/tags.ts	2026-07-12T01:53:22Z	81839c83b948b6cd4a3b3ab4c85134c242452d61	744896eff965a25dc846cadcdbb8f4114e8719ed	554	RAG/audits/CODE-AUDIT-2026-07-11-LOC-MODULARITY.md	Split with adjacent feature or design work; sequencing constraints are in audit R2.
packages/persistence/src/queries-structure.test.ts	2026-07-12T01:53:24Z	81839c83b948b6cd4a3b3ab4c85134c242452d61	ea8f5ce556d821f6a02738d62e0b25a89bbd0d7c	1335	RAG/audits/CODE-AUDIT-2026-07-11-LOC-MODULARITY.md	Reviewed as test evidence; split only with an owning production boundary or shard need.
packages/persistence/src/queries-structure.ts	2026-07-12T01:53:22Z	81839c83b948b6cd4a3b3ab4c85134c242452d61	f31c55109bb94741aab9b66e24c71ddcba0fb2fb	1139	RAG/audits/CODE-AUDIT-2026-07-11-LOC-MODULARITY.md	Split recommended; preserve the facade and parity gates described in audit R1.
packages/persistence/src/service.ts	2026-07-12T02:04:22Z	27daee3d3ba195b445c5dc60c3312a1a63812f23	4be460e619676fc4a931469471d2efbdebfa6904	315	RAG/audits/CODE-AUDIT-2026-07-11-LOC-MODULARITY.md	Reviewed as cohesive for now; composition-root rationale is in audit R3.
packages/protocol/src/index.ts	2026-07-12T01:53:23Z	81839c83b948b6cd4a3b3ab4c85134c242452d61	3db35140babfa6f0408707ba931cf6baf2ac5c71	579	RAG/audits/CODE-AUDIT-2026-07-11-LOC-MODULARITY.md	Reviewed as cohesive for now; optional carve-outs and safety constraints are in audit R3.
spike/src/adapters/konva/index.ts	2026-07-12T01:53:23Z	81839c83b948b6cd4a3b3ab4c85134c242452d61	715613c576f2c2fcde14c76e742c52d17c284fc0	735	RAG/audits/CODE-AUDIT-2026-07-11-LOC-MODULARITY.md	Reviewed as cohesive for now; optional carve-outs and safety constraints are in audit R3.
spike/src/adapters/pixi/index.ts	2026-07-12T01:53:23Z	81839c83b948b6cd4a3b3ab4c85134c242452d61	f2b4266aafe287f6cc2987867d60414b5b10a95c	664	RAG/audits/CODE-AUDIT-2026-07-11-LOC-MODULARITY.md	Reviewed as cohesive for now; optional carve-outs and safety constraints are in audit R3.
